KR0008	􁀙
[舟*尊]	􅣅
[舟*支]	􄛣
[舟*末]	􂎔
[舟*樂]	􂹅
[舟*汜]	􃞈
[舟*火]	􂬳
[舟*皮]	􄤝
[舟*自]	􃉹
[舟*苻]	􃢂
[舟*虛]	􂑉
[舟*行]	􄯀
[舟*賓]	􂙪
[舟*靈]	􄲰
[舟-(白-日)]	􂑆
[般/土]	􂡙
[般/車]	􂊳
[般/金]	􃘅
[艋-子+羊]	􂜉
[艮/木]	􄼛
[艮/示]	􄵋
[良*列]	􂐛
[色-巴+((〡*日)/ㄆ)]	􄼄
[色-巴+(〡*日)]	􅋱
[色-巴+(一/(棣-木))]	􄒍
[色-巴+(一/包)]	􅚮
[色-巴+(厂@比)]	􃫶
[色-巴+(寫-臼+(〡*日))]	􄣛
[色-巴+(扥-(打-丁))]	􅛕
[色-巴+(由/小)]	􄦵
[色-巴+(眉-目+比)]	􄄭
[色-巴+(罩-卓+(目/火))]	􅍐
[色-巴+(罩-卓+大)]	􅣇
[色-巴+(罩-卓+支)]	􅨟
[色-巴+(鹿-比)+(ㄙ*ㄙ)]	􄷰
[色-巴+几]	􃢻
[色-巴+叟]	􅟙
[色-巴]	􄉛
[艸-屮]	􂉟
[艸/兄]	􃘒
[艹/䘚]	􁼨
[艹/皮]	􁿸
[艼-一]	􄀓
[芏/寸]	􂖏
[芝/耳]	􃊆
[芤-子+(止/肉)]	􄁸
[花-匕+韭]	􃺀
[芷/(止*止)/糸]	􂌈
[芸/木]	􂆮
[苑/土]	􅤁
[苑/大]	􅤀
[苑/廾]	􅤃
[苑/皿]	􂌱
[苒-土+(┴/十)]	􄟁
[苔/心]	􂭻
[苕*毛]	􃸽
[苗/日]	􂔓
[苗/米]	􂪌
[苟*苟]	􂉘
[苟-口+出]	􄎎
[苟-口+匕]	􃐼
[苤-不+承]	􃶽
[若*也]	􅣨
[若*欠]	􂎇
[苧-丁+(耳*(一/又))]	􄈪
[苧-丁+?]	􂧬
[苨-匕+(司-(一/一/口)+土)]	􃋈
[苨-匕+?]	􄃜
[苨-匕+婁]	􃛬
[苨-匕+樓]	􃑯
[苭-力+　]	􂣫
[苴/(夒-頁)]	􄄔
[茆-ㄗ+(邱-丘)]	􃈽
[茫-亡+((人*人)/一/廾)]	􃰺
[茫-亡+(匚@一)]	􃗏
[茫-亡+(滕-月)]	􂋧
[茫-亡+巫]	􂳾
[茫-亡+臣]	􃐳
[茫-亡+鳥]	􂩎
[茲/瓦]	􂳐
[茵-大+去]	􄖰
[茶-木+(兔-(色-巴)+(白-日))]	􂞻
[茶-木+(田/八)]	􃽍
[茶-木+(由/八)]	􃽎
[茸*?]	􄧖
[茼-(一/口)+(綴-糸)]	􄇕
[茼-(一/口)+又]	􃗂
[荀/大]	􅟧
[荁-旦+欺]	􂓉
[荂*瓜]	􄀟
[荂-大+(((嘹-口)-小)-日)]	􃎗
[荃-王+土]	􄭈
[荈-夕+歹]	􂐉
[草*(日/巾)]	􂪢
[草*戈]	􅑂
[草-十+(虫*虫)]	􃠎
[荔/十]	􃍢
[荖-匕+(刃/一)]	􄄥
[荖-匕+工]	􃽃
[荳-一+死]	􂭜
[荴-夫+休]	􄣋
[荴-夫+焦]	􃑘
[荻-火+俞]	􃷁
[荻-火+斤]	􅆨
[荻-火+犬]	􄸭
[荻-火+犮]	􄷮
[荻-火+里]	􅝨
[荻-火+隹]	􂚮
[莁-(人*人)+(前-刖)]	􃡣
[莁-┴+十]	􃧙
[莁-┴+土]	􄻂
[莁-┴+工]	􅖪
[莆*力]	􄘲
[莆/皿]	􅓒
[莉-禾+(夾-(人*人)+(前-刖))]	􄡟
[莉/尒]	􅝰
[莊-士+(世/木)]	􃸰
[莊-士+(幅-巾)]	􅟫
[莊/金]	􅐏
[莖-(巢-果)+?]	􅏙
[莝-人+口]	􄱍
[莢-(人*人)+(前-刖)]	􄮔
[莢-(人*人)+?]	􂻫
[莢-(人*人)+八]	􃂺
[莤*禾]	􅤅
[莫-大+儿]	􅏒
[莫-大+羽]	􁘴
[莫-大+艸]	􂾰
[莫-大+虫]	􃝳
[莫/二/?]	􂠻
[莫/巳]	􅏸
[莫/月]	􂋾
[莫/系]	􃖡
[莫/艮]	􃖖
[莫/食]	􃣢
[莽-廾+(隹/皿)]	􄠵
[莽-犬+娠]	􃱏
[莽-犬+敉]	􄌸
[莽-犬+敞]	􂬒
[菀-夗+死]	􄜺
[菁-月+毌]	􄈢
[菊/木]	􅖥
[菔-月+舟]	􃽪
[菛@(一/艮)]	􂲈
[菛@(口/田)]	􃵻
[菛@函]	􄈶
[菛@又]	􂌿
[菜-木+(繭-卄)]	􅤓
[菟-(色-巴)+(〦-一)]	􂆏
[菟-?+?]	􂉽
[菥-木+((拖-也+一)/月)]	􂗘
[菧-氐+((中-口+(巨-匚))/土)]	􂱆
[菧-氐+(坒/口)]	􂡚
[菧-氐+(林/火)]	􅊻
[菧-氐+(林/糸)]	􂘸
[菧-氐+生]	􂧁
[菧-氐+里]	􂨞
[華*((世-廿+卄)/木)]	􄾓
[菱-八]	􃎜
[菱-土+(鬯-匕)]	􁘌
[菵-亡+止]	􅄼
[萉-巴+(旡-兀+ㄎ)]	􂡳
[萉-巴+(日/(句-口+匕))]	􂏰
[萉-巴+巳]	􂔕
[萎-禾+亦]	􃶨
[萩-火+(尤-尢+木)]	􂥏
[萩-火+毛]	􄣊
[萩-火+皆]	􄇭
[萩-火+禺]	􃞵
[萩-火+隻]	􃲱
[萩-火+青]	􄩀
[萬/土]	􅝻
[萬/心]	􂫆
[萹-戶+合]	􂗯
[萹-戶+尸]	􂁪
[落-口+小]	􅗇
[葂-力+ㄙ]	􅤄
[葉-世+((素-糸)*刃)]	􄕼
[葉-世+宕]	􂌉
[葉-世+玨]	􂰃
[葉-卄+日]	􂦟
[葋-月+酉]	􃌉
[葎-聿+(公/儿)]	􄈄
[葎-聿+(唚-口)]	􃸺
[葎-聿+巳]	􂯷
[葖-犬+(二/日)]	􃸠
[葖-犬+于]	􃏫
[葟-王+儿]	􅘘
[葵-天+ㄆ]	􂙔
[葵-天+土]	􅖳
[葵-天+王]	􅚦
[葵-天+耒]	􅤙
[葶-丁+呆]	􂆦
[葷-車+(〦/儿/瓦)]	􃥚
[葷-車+(卸-ㄗ)]	􂺠
[葷-車+(友-又+目)]	􃲭
[葷-車+(友-又+鳥)]	􂹘
[葷-車+(袖-由+殳)]	􃿱
[葷-車+七]	􂮄
[葷-車+祋]	􃿲
[葷-車+見]	􂐖
[葸-十+夕]	􂉚
[葺-耳+十]	􃒴
[蒎-(泳-永)]	􄵸
[蒐-(白-日+田)+目]	􄄟
[蒝-(白/小)+(儿/言)]	􃂊
[蒠-心+(冗-几+(止*(ㄇ/又)))]	􃌹
[蒢-余+((丰*力)/衣)]	􄺅
[蒰-殳+(券-刀+(恭-共))]	􃷬
[蒰-舟+禾]	􂞌
[蒲-甫+兩]	􂂇
[蒸*鳥]	􅖄
[蒸-丞+豕]	􂫠
[蒺-矢+生]	􂸮
[蒿-口+米]	􅣾
[蓂-(日/六)+具]	􅗩
[蓋-去+(ㄇ@人)]	􂪁
[蓋-去+(大/ㄙ)]	􃌍
[蓋-去+干]	􄆓
[蓋-去+隹]	􄡇
[蓌-坐+(素-糸)]	􃜏
[蓮-車+(妻-女+人)]	􃓛
[蓲-品+?]	􂍖
[蓺/大]	􅟀
[蓺/虫]	􅖊
[蓻/糸]	􃯡
[蓿-百+丙]	􅤇
[蔌-欠+辛]	􄙢
[蔑-戍+(戒-廾+目)]	􃳁
[蔑-戍+小]	􂨶
[蔑-戍+日]	􅖁
[蔑-戍+目]	􂢙
[蔑/(羅-維)/(⬤-且)/(戌-一)]	􁽈
[蔓-又+万]	􄍺
[蔓-又+刀]	􄘏
[蔝-米+(日/(句-口+匕))]	􂕐
[蔝-米+比]	􂝶
[蔡-示+土]	􅋧
[蔽/死]	􄼧
[蔽/耳]	􃥆
[蕈-早+(一/(卑-(白-日)))]	􂫑
[蕈-早+(卑-(白-日))]	􃜥
[蕉-隹+(里*吉)]	􂩭
[蕊/米]	􃬕
[蕗-各+束]	􅣿
[蕢-貝+(面-(百-日))]	􄄯
[蕢-貝+(黃-卄)]	􅤛
[蕢-貝+日]	􄇶
[蕢-貝+田]	􅛴
[蕤-豕+(一/ㄆ)]	􃲡
[蕭*甫]	􅟌
[蕸-(巨-匚)+几]	􂋸
[薇-几+口]	􄯬
[薊-魚+用]	􃕰
[薎-代+戈]	􅤒
[薕-兼+(羊/皿)]	􄆴
[薛/示]	􃩛
[薜/(木*十)]	􅂪
[薜/子]	􂜭
[薜/手]	􃋔
[薜/米]	􂜲
[薜/虫]	􃔰
[薜/足]	􅃻
[薤-韭+(ㄆ/韭)]	􃰤
[薩-產+(辛/工)]	􂉓
[薩/女]	􂉏
[薩/木]	􂉲
[薩/米]	􂏌
[薯-者+(第-(竺-二)+八)]	􄀤
[薹-吉+(其-(六-(〦-一)))]	􃳢
[薾*犬]	􃢷
[薾/虫]	􃘻
[薿-(予-(丁-一))+(了-(丁-一))]	􂲗
[藉-耒+糸]	􃐄
[藋-隹+(黍-禾)]	􂥰
[藍-皿+酉]	􅍏
[藏/月]	􄳐
[藝-坴+幸]	􂁭
[藤-月+舟]	􃰧
[藪-ㄆ+爪]	􂛣
[藪-婁+((即-ㄗ)-日+口)]	􂘌
[藪-婁+(止/回)]	􄁂
[藿-隹+讎]	􅛎
[蘆-皿]	􃨡
[蘋-步+(一/天)]	􅜇
[蘋-步+(止/豕)]	􃲪
[蘘-(〦/(口*口))+(一/(人*人))]	􅯦
[蘘-(口*口)]	􂤒
[蘘-〦]	􄐙
[蘜-匊+奇]	􂜙
[蘪-米+木]	􅤉
[蘲-畾+(一/八)]	􄿖
[蘲-畾+(夕*又)]	􄷆
[蘲-畾+(工/中/(冗-几+口)/土)]	􃩞
[蘹-褱+(└@人)]	􃳚
[虍-七+(一/(匚@一)/(乳-孚))]	􂣘
[虍-七+(土/用)]	􂖛
[虍-七+(日/匕)]	􂧤
[虎*殳]	􂏾
[虎*牛]	􂚚
[虎*瓦]	􂻜
[虎*頁]	􁼗
[虎-儿+(一/口)]	􃜒
[虎-儿+(了-(丁-一)+(主-土+(乳-孚)))]	􂙄
[虎-儿+(口/田)]	􂗙
[虎-儿+(句-口)]	􅙹
[虎-儿+(奄-大)]	􃔑
[虎-儿+(巾-〡)]	􄒧
[虎-儿+ㄇ]	􄕊
[虎-儿+七]	􅦘
[虎-儿+人]	􂕿
[虎-儿+八]	􄉺
[虎-儿+几]	􅝤
[虎-儿+巳]	􂥊
[虎-儿+旦]	􄉮
[虎-儿+用]	􃞞
[虎-儿+肉]	􂙀
[虎-儿+豆]	􅜿
[虒-虎+(扥-(打-丁))]	􂿈
[虒-虎+乇]	􂹪
[虒-虎+力]	􂪙
[虒-虎+午]	􄊹
[虓-儿+巾]	􅦖
[虖-丁+ㄎ]	􃲃
[虛*ㄆ]	􂏕
[虛*予]	􂋮
[虛*亍]	􄩿
[虛*元]	􃇩
[虛*戊]	􁿷
[虛*瓜]	􃠕
[虛*頁]	􂥐
[號-虎+(虒-儿+几)]	􃱮
[號-虎+兆]	􅞖
[虢-寸+(圬-土)]	􄃚
[虢-寸+(百-日+ㄎ)]	􃥉
[虢-寸+?]	􃮩
[虥-儿+巾]	􃍖
[虧-隹+豆]	􃫝
[虫*((向-口+人)/比)]	􃞼
[虫*((天*天)/日)]	􄉠
[虫*(ㄆ/虫)]	􄔳
[虫*(一/几)]	􅋓
[虫*(一/尢)]	􃠇
[虫*(上/日)]	􅭔
[虫*(不/見)]	􂋕
[虫*(兩-(入*入)+(人*人))]	􃐜
[虫*(券-刀+小)]	􄅦
[虫*(匚@(一/品))]	􄁟
[虫*(匚@一)]	􄎐
[虫*(嬴-口+(罩-卓))]	􂆚
[虫*(嬴-女)]	􄇉
[虫*(尸@工)]	􃛻
[虫*(打-丁+片)]	􂇗
[虫*(文/虫)]	􄔭
[虫*(暴-(日/共)+((┐@一)/一))]	􃖧
[虫*(替-日+貝)]	􂥲
[虫*(橐-(石/木)+黽)]	􅯂
[虫*(毘-十+ㄨ)]	􂇚
[虫*(白-日+(丹-、+十))]	􄼺
[虫*(索-糸+木)]	􅑟
[虫*(絳-糸)]	􄭇
[虫*(网-(ㄨ*ㄨ)+又)]	􃓴
[虫*(莫/虫)]	􄼿
[虫*(虎-儿+(一/巾))]	􃩌
[虫*(足-口+虍)]	􂫄
[虫*(這-言+(白-日)/(舛-夕))]	􅇪
[虫*(雨/隻)]	􄧒
[虫*ㄆ]	􂑊
[虫*㝠]	􂄴
[虫*互]	􄲏
[虫*伐]	􃢥
[虫*免]	􁼥
[虫*冊]	􄼹
[虫*冘]	􃔺
[虫*到]	􅌲
[虫*匕]	􅂦
[虫*友]	􂿏
[虫*反]	􃂉
[虫*口]	􅄛
[虫*只]	􅈞
[虫*台]	􄾛
[虫*嘗]	􅝊
[虫*壹]	􂎓
[虫*壽]	􂴧
[虫*夏]	􄪒
[虫*嬴]	􂉫
[虫*孔]	􅥸
[虫*字]	􅞈
[虫*守]	􄭋
[虫*宋]	􄇩
[虫*官]	􄭌
[虫*寧]	􅥱
[虫*尢]	􂱍
[虫*廋]	􄞚
[虫*建]	􂮑
[虫*弓]	􂫸
[虫*彌]	􃏍
[虫*彔]	􅑪
[虫*復]	􂍋
[虫*必]	􅊞
[虫*慧]	􅟤
[虫*於]	􅥤
[虫*施]	􃆢
[虫*昌]	􄮕
[虫*晏]	􂎣
[虫*暗]	􃎐
[虫*朁]	􃦏
[虫*月]	􃛉
[虫*末]	􂸚
[虫*束*頁]	􃗓
[虫*棠]	􅟴
[虫*毘]	􅬴
[虫*游]	􂫃
[虫*然]	􂦳
[虫*煞]	􂗀
[虫*犬]	􅓀
[虫*瓦]	􄏉
[虫*真]	􂇐
[虫*矢]	􃏢
[虫*票*寸]	􄢡
[虫*竹]	􅀪
[虫*簷]	􂆈
[虫*糸]	􂺗
[虫*系]	􅆜
[虫*縈]	􂾡
[虫*纍]	􅥞
[虫*而]	􄁩
[虫*臝]	􂣂
[虫*致]	􅌱
[虫*芥]	􃬄
[虫*苪]	􂘃
[虫*莆]	􂏸
[虫*菴]	􅥫
[虫*蘥]	􄅙
[虫*螢]	􂒴
[虫*豆*寸]	􂞥
[虫*貨]	􄅥
[虫*責]	􅀲
[虫*贊]	􅅥
[虫*辛]	􅃀
[虫*辟]	􅥳
[虫*近]	􄩅
[虫*邊]	􂠥
[虫*風]	􄬻
[虫*飛]	􄓩
[虫*鬲*(舛-夕)]	􄃧
[虫*鳥]	􄊡
[虫*齒]	􅅼
[虫*龠]	􄝫
[虫/心]	􂏱
[虱*(乏-之+虫)]	􄱽
[虱*虫]	􄤿
[虱-(乏-之+虫)+((乏-之+虫)*(乏-之+虫))]	􄍀
[虱-(乏-之+虫)+(豐-凵-豆)]	􅞠
[虱-(乏-之+虫)+ㄠ]	􂐲
[虱-(乏-之+虫)+允]	􂐪
[虱-(乏-之+虫)+工]	􂐳
[虱-(乏-之+虫)+辯]	􄓎
[虺-兀+兄]	􄉿
[虺-兀+瓦]	􂋯
[虺-虫+勿]	􅣴
[虺-虫+危]	􅣳
[虺-虫+奚]	􃜎
[虺-虫+妥]	􂤩
[虺-虫+生]	􃹙
[虺-虫+畏]	􂤨
[虺-虫+皮]	􃒟
[虺-虫+重]	􄍜
[蚓-〡+(乞-乙+小)]	􄅽
[蚡-刀+允]	􅮘
[蚤-虫]	􅄃
[蚩－一]	􁻭
[蚽-不+刃]	􃼷
[蛇-匕+(六/ㄆ)]	􃻸
[蛇-匕+(尸@貝)]	􄟡
[蛫-厄+又]	􃻷
[蜀*斤]	􅨒
[蜌-土+月]	􃆮
[蜎-口+(口/└)]	􃘷
[蜎-月+虫]	􂰾
[蜛-古+氣]	􅯼
[蜜-必+(癸-天)]	􃐙
[蜜-必+夗]	􅪯
[蜤-斤+豕]	􃔨
[蜱-(白-日)]	􃺴
[蜱-田+目]	􃽘
[蜴-勿+工]	􃹪
[蝛-女+大]	􄢶
[蝨-十+虫]	􃍒
[蝨-虫]	􄼍
[蝶-世+ㄊ]	􅋡
[蝶-世+云]	􃽙
[蝶-虫+彳]	􄺕
[蝶-虫+黑]	􄻃
[螅-心+?]	􃜀
[螘-山+止]	􅥣
[螘-豆+虫]	􄉜
[螣-月+目]	􃢦
[螫-赤+亦]	􅥟
[螷-卑+林]	􃀊
[蟗-出]	􃒽
[蟘-代+忒]	􃁄
[蟲/鳥]	􄈠
[蠂-世+云]	􃴈
[蠃-亡+(└@人)]	􃧕
[蠃-口+(罩-卓)]	􃓟
[蠢-春+(天*天)]	􅍱
[蠢-春+(罩-卓+次)]	􃻤
[蠢-春+?]	􃶹
[蠢-春+原]	􁒸
[蠢-春+替]	􄍹
[蠢-春+眾]	􃘶
[蠶-日-虫]	􅉀
[蠹-石]	􃕴
[蠹-虫]	􃐰
[血*且]	􂦊
[血*丕]	􃁊
[血*思]	􅎍
[血-║+(又*又)]	􃾈
[衊_戍+伐]	􁽍
[衍/言]	􂘔
[衛-韋+含]	􂋄
[衛/心]	􃛯
[衣+牙]	􁽏
[衣-〦+(椅-(大/一)+立)]	􃡜
[衣-〦+保]	􅣑
[衣-〦+可]	􂑟
[衣-〦+矢]	􂋎
[衣-〦+蓻]	􂍮
[衣-〦+高]	􂎍
[衣/一]	􅬞
[衣/內]	􃛀
[衣/凡]	􃺢
[衣/龜]	􅈆
[衣＋乍]	􁻬
[衰-(衣-〦)+死]	􄧶
[袁-口]	􃋯
[袌-包+矢]	􃌨
[袖-由+((臘-月)-?+?)]	􃅿
[袖-由+(戒-廾+(┐/一/八))]	􄀊
[袖-由+(戒-廾+只)]	􃞦
[袖-由+(戶@(一/巾))]	􃯇
[袖-由+(旃-方)]	􂤝
[袖-由+(虍-七+巿)]	􃗥
[袖-由+(邱-丘+(看-目))]	􂥉
[袖-由+丘]	􂫤
[袖-由+乃]	􃃁
[袖-由+亥]	􃗊
[袖-由+余]	􂔅
[袖-由+兆]	􃱽
[袖-由+匱]	􃂩
[袖-由+呆]	􃍾
[袖-由+奐]	􃈲
[袖-由+孚]	􂸧
[袖-由+安]	􃋅
[袖-由+巴]	􃣧
[袖-由+希]	􃎉
[袖-由+幻]	􃀡
[袖-由+弇]	􃍡
[袖-由+復]	􂎳
[袖-由+感]	􃁱
[袖-由+戢]	􂡌
[袖-由+方]	􃰔
[袖-由+昏]	􂿻
[袖-由+業]	􃣨
[袖-由+毳]	􃋳
[袖-由+犬]	􂌧
[袖-由+直]	􂹓
[袖-由+羸]	􃫍
[袖-由+臾]	􂏠
[袖-由+芺]	􃺺
[袖-由+莫]	􃎓
[袖-由+著]	􂤥
[袖-由+輒]	􃽲
[袖-由+追]	􃊑
[袖-由+遍]	􃑠
[袖-由+黨]	􃛠
[袘-也+凡]	􂦦
[裌-(人*人)+(前-刖)]	􄼩
[裨-卑+((白-日+田)/廾)]	􂢷
[裾-((厂-一)*古)+(〡*又)]	􃉫
[褁-果+(里/八)]	􅁓
[褎-禾+((甬-用)+一)]	􄲸
[褎-禾+?]	􂪲
[褎-禾+子]	􃤫
[褎-禾+由]	􅣒
[褒-保+((口*〡)/一)]	􃡟
[褒-保+(ㄠ-ㄙ)]	􃻎
[褒-保+(共-八)]	􂹷
[褒-保+(可-一)]	􅣐
[褒-保+(罩-卓)]	􃉾
[褒-保+(非/(乏-之))]	􃑤
[褒-保+(鬼-(白-日))]	􅁫
[褒-保+央]	􅘼
[褒-保+昍]	􃂅
[褒-保+曰]	􅍛
[褒-保+瑰]	􃩻
[褞-囚+太]	􃲠
[褧-火+少]	􂳤
[褩-舟+(臼/工)]	􂱮
[褫-虎+((虍-(厂-一))/巾)]	􃯆
[褱*土]	􃾩
[褱-衣]	􃧭
[襄-〦]	􃧱
[襌-(田/十)+(王*寸)]	􂰂
[襮-(日/共)+(羌-儿)]	􃲿
[襾/((看-目)*目)]	􃿒
[襾/(革*月)]	􃍆
[襾/(革*音)]	􃒉
[襾/(革*馬)]	􃌟
[西/(卑-(白-日))]	􄾦
[西/卑]	􄉌
[西/月]	􄏜
[要/口]	􃽵
[要/日]	􄶰
[要/曰]	􂋖
[覈-(白/方)+身]	􄇝
[覛-見+皿]	􃱄
[覛-見+頁]	􂱉
[覡-(人*人)+(前-刖)]	􅓎
[覤-儿+日]	􃵄
[親-見+翟]	􄽊
[親-見]	􄙓
[親/女]	􅇮
[覶-(ㄙ/又)+土]	􃌱
[覺/勿]	􅰊
[角*(、廾)]	􄠰
[角*(一/ㄠ)]	􅣣
[角*(乞-乙+干)]	􄒗
[角*(京-口+日)]	􃞂
[角*(將-爿)]	􅃱
[角*(庭-壬+手)]	􄘵
[角*(烈-列+(亟-一))]	􄵆
[角*(虒-虎+(〡*ㄑ))]	􅅊
[角*(采-木+寸)]	􅃲
[角*丘]	􅛋
[角*之]	􂖭
[角*乍]	􂖡
[角*亟]	􄱎
[角*居]	􃙍
[角*巨]	􃙌
[角*底]	􅣤
[角*手]	􄙱
[角*支]	􅔇
[角*毛]	􂪡
[角*爪]	􄘩
[角*矞]	􅎙
[角*罪]	􄖕
[角*閑]	􁻜
[角*間]	􄞻
[角*頁]	􃡑
[角/卑]	􄿏
[解-土+(人/人)]	􃬟
[觱-角+用]	􅎃
[言*((舛-夕+(一/口))/鬲)]	􃈪
[言*(〡/下)]	􃋿
[言*(〦/(尢-一+凵))]	􂮙
[言*(〦/日)]	􄞷
[言*(ㄙ/貝)]	􅕑
[言*(不/土)]	􄭓
[言*(乏-之+未)]	􅇠
[言*(九/十)]	􄊴
[言*(乾-乞+舟)]	􃯨
[言*(互-口+一)]	􅘔
[言*(今/一)]	􄩎
[言*(入/米)]	􄙀
[言*(冉-土+＝)]	􄥐
[言*(口/(之-、))]	􄼑
[言*(口/└/月)]	􃚣
[言*(后-口+┬)]	􅩔
[言*(囗@又)]	􄆯
[言*(央-大+(⊥/ㄅ))]	􅩖
[言*(已/土)]	􁽿
[言*(平/一)]	􄬍
[言*(弓/一)]	􄱯
[言*(心-(白-日))]	􄺎
[言*(戒-廾+口)]	􅟑
[言*(日/(句-口+匕))]	􃍅
[言*(日/匕)]	􃚍
[言*(旬/子)]	􃖳
[言*(昔-日+貝)]	􅂔
[言*(次/心)]	􂄶
[言*(淫-⺡)]	􂆃
[言*(玄-ㄙ+ㄥ)]	􂑋
[言*(申+、)]	􄌩
[言*(皮-(〡/又)+(王/匆))]	􅈺
[言*(絫-糸+尒)]	􃩪
[言*(网-ㄨ)]	􄄬
[言*(羽/日)]	􃢤
[言*(苑-夕+歹)]	􂘬
[言*(號-虎)]	􅞳
[言*(遻-(這-言))]	􃆠
[言*(采-木+(〡*日))]	􅅑
[言*(雨/(匚@一))]	􂗹
[言*(雨/予)]	􃢎
[言*丹]	􄝝
[言*亟]	􄱜
[言*他]	􅇿
[言*伯]	􂟑
[言*共]	􃉂
[言*冝]	􁼼
[言*几]	􃉿
[言*函]	􃶌
[言*刀]	􄀺
[言*刑]	􂗕
[言*勉]	􄧆
[言*勾]	􄳟
[言*匕]	􅒵
[言*去]	􄦜
[言*向]	􄨢
[言*呆]	􂓊
[言*圣]	􄞂
[言*墮]	􄂑
[言*夫]	􅖆
[言*奉]	􁻛
[言*害]	􂇣
[言*寅]	􂑷
[言*寋]	􃶥
[言*寒]	􃶾
[言*寧]	􄯼
[言*尾]	􂅥
[言*屠]	􄿇
[言*崖]	􄯿
[言*巟]	􃛰
[言*廿]	􄌑
[言*弋]	􃮬
[言*心]	􄹣
[言*恣]	􂎭
[言*恭]	􂓨
[言*愛]	􃏹
[言*戈]	􄞭
[言*或]	􅗢
[言*截]	􅈊
[言*戾]	􄧓
[言*故]	􂰏
[言*曩]	􂡉
[言*曾]	􄢋
[言*木]	􂤽
[言*未]	􃨲
[言*末]	􃊌
[言*束]	􄍧
[言*柔]	􅛾
[言*止]	􄻹
[言*步]	􂦮
[言*片]	􄪢
[言*牒]	􃂡
[言*王]	􄪰
[言*甲]	􄊞
[言*示]	􂏍
[言*禾]	􅙔
[言*系]	􄄫
[言*罝]	􃌈
[言*置]	􄊠
[言*翕]	􁋻
[言*翟]	􂋩
[言*臣]	􅘚
[言*苔]	􃎾
[言*蕭]	􂱔
[言*藍]	􂡺
[言*見]	􄦛
[言*親]	􄮻
[言*解]	􂖱
[言*豕]	􁻫
[言*質]	􃗌
[言*赫]	􂾵
[言*身*矢]	􄳗
[言*進]	􃀤
[言*那]	􂐭
[言*采]	􅊪
[言*里]	􂲳
[言*陏]	􃣃
[言*隋]	􃕈
[言*零]	􂆙
[言*首]	􃗰
[言*鹿]	􂪀
[言-口]	􁾁
[言/巾]	􃜿
[訊-言+晝]	􃛣
[訊-言+畫]	􃼧
[訓/鳥]	􂚏
[託-七+史]	􂓌
[訟-ㄙ+皿]	􅟛
[詁-十+斤]	􃱆
[詑-匕+(匚@一)]	􄝶
[詛/木]	􃵂
[詣-匕+雨]	􂰳
[詨-父+(大-一+凵)]	􂑌
[詩-士+?]	􂦹
[詫-乇+(七/匕)]	􅩑
[詫-乇+(火/又)]	􃝤
[詫-乇+隻]	􄅂
[詳-十+山]	􃶲
[詹-(八/言)+巾]	􃖇
[詿*〡]	􃋊
[誌-士+(夫*夫)]	􃌗
[誣-(人*人)+(前-刖)]	􅗽
[誣-一+工]	􄬉
[誰*言]	􄔉
[誰/又]	􅂒
[課/心]	􂴲
[諒-口+日]	􃣟
[諒-小+日]	􂻓
[諕-(乳-孚)]	􅩒
[諕-儿+又]	􃣲
[諲-西+不]	􄸛
[諻-王+上]	􃷀
[諻-王+去]	􂟒
[諻-王+土]	􃨀
[諻-王+壬]	􃹢
[諾-右+(厂@(一/又))]	􂹨
[諿-耳+可]	􂐄
[謀-甘+廿]	􅩓
[謂-田+ㄙ]	􃔥
[謈-言+丰]	􅧗
[謈-言+日]	􂒞
[謬-(彰-章)+(恭-共)]	􂕻
[謬-(彰-章)+小]	􃣕
[謵-白+尒]	􂕽
[譇-者+于]	􅮤
[證-豆+示]	􃊉
[譋-月+?]	􃎌
[譋-月+曶]	􃌅
[識-言+日]	􅧔
[譙-隹+取]	􃹳
[譟-木+(百-日+ㄎ)]	􂣸
[譥-言+貝]	􂨃
[譧-兼+氏]	􂉻
[譧-兼+氐]	􃖀
[護-又]	􃢛
[護-雈+ㄊ]	􃶓
[讂-目+(目*〡)]	􄅢
[讟-士+出]	􃲾
[谷*宏]	􃂬
[谷*斤]	􃂆
[谷*牢]	􅨛
[谷*谷]	􂒝
[谷*頁]	􂹽
[谷-口+(乏-之+虫)]	􅥵
[谷-口+(凵@(下-、+一))]	􂪗
[谷-口+十]	􅒎
[谷-口+虫]	􅁆
[豁/心]	􅡂
[豁/虫]	􂩌
[豆*(、廾、)]	􄥏
[豆*(〦/米)]	􃢖
[豆*(刀/日)]	􂪒
[豆*ㄆ]	􄾟
[豆*夆]	􅙮
[豆*寸]	􂔗
[豆*毛]	􄐥
[豆*登]	􅑾
[豆*皮]	􃝒
[豆*雙]	􅙯
[豈*(色-巴+又)]	􄆒
[豈*元]	􃏇
[豈*支]	􄅫
[豈*斤]	􅆓
[豈*瓦]	􁻙
[豊*孟]	􅞨
[豊*邕]	􄅔
[豌-夗+死]	􂘦
[豓-太+次]	􁽒
[豕*曷]	􂌼
[豕-(不-卜)]	􅬗
[豕-?]	􅯢
[豕-一+爪]	􃫒
[豕/取]	􄄸
[象-(豕-一)+(歹*戈)]	􄫛
[象-(豕-一)+(焉-正)]	􃣱
[象-(豕-一)+(革-廿)]	􄆝
[豢*頁]	􄑺
[豸*(仁-二+勺)]	􄦾
[豸*(危-(厄-厂)+巾)]	􅞔
[豸*(后-口+(二/巾))]	􄖋
